puzzleId,construction,gridRows,gridColumns,obstacleDensity,depth,oracleReachable,oracleDistance,predictedReachable,predictedDistance,correct,changedCellsFinalStep,stableAtStep,computeProxy
"eval-blocked-2x2","hand-constructed evaluation fixture",2,2,0.5,6,false,,false,,true,0,1,12
"eval-blocked-2x2","hand-constructed evaluation fixture",2,2,0.5,8,false,,false,,true,0,1,16
"eval-blocked-2x2","hand-constructed evaluation fixture",2,2,0.5,12,false,,false,,true,0,1,24
"eval-blocked-2x2","hand-constructed evaluation fixture",2,2,0.5,16,false,,false,,true,0,1,32
"eval-dense-unreachable","hand-constructed evaluation fixture",4,4,0.375,0,false,,false,,true,0,,0
"eval-dense-unreachable","hand-constructed evaluation fixture",4,4,0.375,1,false,,false,,true,1,,10
"eval-dense-unreachable","hand-constructed evaluation fixture",4,4,0.375,2,false,,false,,true,1,,20
"eval-dense-unreachable","hand-constructed evaluation fixture",4,4,0.375,4,false,,false,,true,1,,40
"eval-dense-unreachable","hand-constructed evaluation fixture",4,4,0.375,6,false,,false,,true,0,6,60
"eval-dense-unreachable","hand-constructed evaluation fixture",4,4,0.375,8,false,,false,,true,0,6,80
"eval-dense-unreachable","hand-constructed evaluation fixture",4,4,0.375,12,false,,false,,true,0,6,120
"eval-dense-unreachable","hand-constructed evaluation fixture",4,4,0.375,16,false,,false,,true,0,6,160
"eval-narrow-5x5","hand-constructed evaluation fixture",5,5,0.28,0,true,8,false,,false,0,,0
"eval-narrow-5x5","hand-constructed evaluation fixture",5,5,0.28,1,true,8,false,,false,1,,18
"eval-narrow-5x5","hand-constructed evaluation fixture",5,5,0.28,2,true,8,false,,false,1,,36
"eval-narrow-5x5","hand-constructed evaluation fixture",5,5,0.28,4,true,8,false,,false,1,,72
"eval-narrow-5x5","hand-constructed evaluation fixture",5,5,0.28,6,true,8,false,,false,2,,108
"eval-narrow-5x5","hand-constructed evaluation fixture",5,5,0.28,8,true,8,true,8,true,3,,144
"eval-narrow-5x5","hand-constructed evaluation fixture",5,5,0.28,12,true,8,true,8,true,0,11,216
"eval-narrow-5x5","hand-constructed evaluation fixture",5,5,0.28,16,true,8,true,8,true,0,11,288
